————————————————————————————————————————————— ITEMS —————————————————————————————————————————————

Name: 3dPrintedArrow                   | ID: 618   | Type: Droppable, Ammo
Name: 3dPrintedArrowHeads              | ID: 559   | Type: Droppable
Name: 3dPrintedFlask                   | ID: 426   | Type: Equippable, Edible, Droppable
Name: 3dPrintedFlowerPot               | ID: 561   | Type: Droppable
Name: 3dPrintedGrapplingHook           | ID: 560   | Type: CraftingMaterial, Droppable
Name: 3dPrintedKnife                   | ID: 427   | Type: CraftingMaterial, Weapon
Name: 3dPrintedSled                    | ID: 428   | Type: Equippable, CraftingMaterial, Droppable
Name: 3dPrintedUnderwaterMask          | ID: 429   | Type: Equippable, Droppable
Name: 3dPrinterResin                   | ID: 390   | Type: Droppable
Name: 9mmAmmo                          | ID: 362   | Type: Droppable, Ammo
Name: AirCanister                      | ID: 469   | Type: Edible, Droppable
Name: Airgun                           | ID: 357   | Type: Equippable, Droppable, RangedWeapon, Weapon
Name: AirgunScope                      | ID: 470   | Type: Droppable, Extension
Name: AlbumCover                       | ID: 467   | Type: Equippable
Name: AloeVera                         | ID: 451   | Type: CraftingMaterial, Edible, Droppable
Name: AloeVeraSeed                     | ID: 596   | Type: Droppable
Name: ArrowleafBalsamroot              | ID: 454   | Type: CraftingMaterial, Edible, Droppable
Name: ArrowleafSeed                    | ID: 597   | Type: Droppable
Name: Backpack                         | ID: 402   | Type: Equippable, Clothing
Name: Batteries                        | ID: 527   | Type: CraftingMaterial, Droppable
Name: BatteryCharger                   | ID: 458   | Type: Droppable
Name: BatteryPack                      | ID: 460   | Type: Droppable
Name: Binoculars                       | ID: 341   | Type: Equippable, Droppable
Name: Blackberries                     | ID: 595   | Type: Edible, Droppable
Name: BlackberrySeed                   | ID: 598   | Type: Droppable
Name: Blueberries                      | ID: 445   | Type: Edible, Droppable
Name: BlueberrySeed                    | ID: 599   | Type: Droppable
Name: BlueprintBirdHouse               | ID: 581   | Type: Equippable
Name: BlueprintBoneChair               | ID: 579   | Type: Equippable
Name: BlueprintBoneChandelier          | ID: 588   | Type: Equippable
Name: BlueprintBook                    | ID: 552   | Type: Equippable
Name: BlueprintDryingRack              | ID: 530   | Type: StructureBlueprint
Name: BlueprintFishTrap                | ID: 582   | Type: Equippable
Name: BlueprintHangingSkullLight       | ID: 625   | Type: Equippable
Name: BlueprintMannequin               | ID: 584   | Type: Equippable
Name: BlueprintPlanterFloor            | ID: 587   | Type: Equippable
Name: BlueprintPlanterWall             | ID: 586   | Type: Equippable
Name: BlueprintRainCatcher             | ID: 629   | Type: Equippable
Name: BlueprintRockPath                | ID: 622   | Type: Equippable
Name: BlueprintScarecrow               | ID: 585   | Type: Equippable
Name: BlueprintShelf                   | ID: 621   | Type: Equippable
Name: BlueprintSmallLogCabin           | ID: 591   | Type: Equippable
Name: BlueprintSpringTrap              | ID: 632   | Type: Equippable
Name: BlueprintStickBed                | ID: 532   | Type: StructureBlueprint
Name: BlueprintStickChair              | ID: 531   | Type: StructureBlueprint
Name: BlueprintStickLadder             | ID: 580   | Type: Equippable
Name: BlueprintStorageBones            | ID: 608   | Type: Equippable
Name: BlueprintStorageBox              | ID: 583   | Type: Equippable
Name: BlueprintStorageLogs             | ID: 609   | Type: Equippable
Name: BlueprintStorageRocks            | ID: 607   | Type: Equippable
Name: BlueprintStorageSticks           | ID: 610   | Type: Equippable
Name: BlueprintTable                   | ID: 620   | Type: Equippable
Name: BlueprintTrapBoneMaker           | ID: 549   | Type: StructureBlueprint
Name: BlueprintTrapFlySwatter          | ID: 550   | Type: StructureBlueprint
Name: BlueprintTrapSmallAnimalCatcher  | ID: 551   | Type: StructureBlueprint
Name: BlueprintWallShelf               | ID: 623   | Type: Equippable
Name: BlueprintWallTorch               | ID: 624   | Type: Equippable
Name: BlueprintWeaponRack              | ID: 533   | Type: StructureBlueprint
Name: BlueTShirt                       | ID: 488   | Type: Clothing
Name: Bone                             | ID: 405   | Type: Equippable, CraftingMaterial, Droppable, Weapon
Name: BoneArmour                       | ID: 494   | Type: Droppable, Craftable, Armor
Name: BuckshotAmmo                     | ID: 364   | Type: Droppable, Ammo
Name: BunkerPamphlet                   | ID: 509   | Type: Equippable
Name: C4Brick                          | ID: 420   | Type: CraftingMaterial, Droppable
Name: CannedFood                       | ID: 434   | Type: CraftingMaterial, Droppable
Name: CanOpener                        | ID: 432   | Type: CraftingMaterial
Name: CatFood                          | ID: 464   | Type: Edible, Droppable, Craftable
Name: CerealBox                        | ID: 425   | Type: Edible, Droppable
Name: Chicory                          | ID: 465   | Type: CraftingMaterial, Edible, Droppable
Name: ChicorySeed                      | ID: 605   | Type: Droppable
Name: CircuitBoard                     | ID: 416   | Type: CraftingMaterial, Droppable
Name: ClimbingAxe                      | ID: 478   | Type: Equippable, Droppable, Weapon
Name: Cloth                            | ID: 415   | Type: Equippable, CraftingMaterial, Droppable
Name: Coins                            | ID: 502   | Type: CraftingMaterial, Droppable
Name: CombatKnife                      | ID: 380   | Type: Equippable, CraftingMaterial, Weapon
Name: CompactPistol                    | ID: 355   | Type: Equippable, CraftingMaterial, Droppable, RangedWeapon, Craftable, Weapon
Name: CompactPistolRail                | ID: 376   | Type: CraftingMaterial, Droppable, Craftable, Extension
Name: ContactSpringTrigger             | ID: 514   | Type: Equippable, Droppable, Craftable
Name: ContactTrigger                   | ID: 511   | Type: Equippable, Droppable, Craftable
Name: CookingPot                       | ID: 517   | Type: Edible, Droppable
Name: CraftedArrow                     | ID: 507   | Type: Droppable, Ammo, Craftable
Name: CraftedBow                       | ID: 443   | Type: Equippable, Droppable, RangedWeapon, Craftable, Weapon
Name: CraftedClub                      | ID: 477   | Type: Equippable, Droppable, Craftable, Weapon
Name: CraftedSpear                     | ID: 474   | Type: Equippable, Droppable, Ammo, Projectile, RangedWeapon, Craftable, Weapon
Name: CreepyArmour                     | ID: 593   | Type: Droppable, Craftable, Armor
Name: CreepySkin                       | ID: 592   | Type: Droppable
Name: Cross                            | ID: 468   | Type: Equippable, Droppable
Name: Crossbow                         | ID: 365   | Type: Equippable, CraftingMaterial, Droppable, RangedWeapon, Craftable, Weapon
Name: CrossbowAmmoBolt                 | ID: 368   | Type: Droppable, Ammo
Name: CrossbowQuiverMod                | ID: 384   | Type: Droppable, Extension
Name: CultPamphlet                     | ID: 633   | Type: Equippable
Name: DeerHide                         | ID: 472   | Type: CraftingMaterial, Droppable
Name: DeerHideArmour                   | ID: 519   | Type: Droppable, Craftable, Armor
Name: DevilsClub                       | ID: 449   | Type: CraftingMaterial, Edible, Droppable
Name: DevilsClubSeed                   | ID: 600   | Type: Droppable
Name: DuctTape                         | ID: 419   | Type: CraftingMaterial, Droppable
Name: EmailPrintoutAstrologyA          | ID: 539   | Type: Equippable
Name: EmailPrintoutAstrologyB          | ID: 540   | Type: Equippable
Name: EmailPrintoutAstrologyC          | ID: 541   | Type: Equippable
Name: EmailPrintoutBalletA             | ID: 545   | Type: Equippable
Name: EmailPrintoutCaveLighting        | ID: 521   | Type: Equippable
Name: EmailPrintoutGolfA               | ID: 534   | Type: Equippable
Name: EmailPrintoutGolfB               | ID: 535   | Type: Equippable
Name: EmailPrintoutGolfC               | ID: 536   | Type: Equippable
Name: EmailPrintoutGolfD               | ID: 537   | Type: Equippable
Name: EmailPrintoutGovernmentA         | ID: 614   | Type: Equippable
Name: EmailPrintoutGovernmentB         | ID: 615   | Type: Equippable
Name: EmailPrintoutGovernmentC         | ID: 616   | Type: Equippable
Name: EmailPrintoutMrPuffyFinancial    | ID: 528   | Type: Equippable
Name: EmailPrintoutMrPuffyWill         | ID: 526   | Type: Equippable
Name: EmailPrintoutPaintingA           | ID: 538   | Type: Equippable
Name: EmailPrintoutPoliticianA         | ID: 542   | Type: Equippable
Name: EmailPrintoutPoliticianB         | ID: 543   | Type: Equippable
Name: EmailPrintoutPoliticianC         | ID: 544   | Type: Equippable
Name: EmailPrintoutSqueakyShoesA       | ID: 546   | Type: Equippable
Name: EmailPrintoutSqueakyShoesB       | ID: 547   | Type: Equippable
Name: EmailPrintoutSqueakyShoesC       | ID: 548   | Type: Equippable
Name: EmergencyPack                    | ID: 483   | Type: CraftingMaterial
Name: EnergyBar                        | ID: 441   | Type: Edible, Droppable
Name: EnergyDrink                      | ID: 439   | Type: Edible, Droppable
Name: EnergyMix                        | ID: 461   | Type: Edible, Droppable, Craftable
Name: EnergyMixPlus                    | ID: 462   | Type: Edible, Droppable, Craftable
Name: Feather                          | ID: 479   | Type: CraftingMaterial, Droppable
